Tue Aug 22 22:51:37 EDT 2017      23.38       52.40
Tue Aug 22 23:00:02 EDT 2017      23.72       52.60
Tue Aug 22 23:05:17 EDT 2017     Failed      Failed
Tue Aug 22 23:10:19 EDT 2017     Failed      Failed
Tue Aug 22 23:20:01 EDT 2017      23.75       53.70
Tue Aug 22 23:25:02 EDT 2017      23.95       57.30
Tue Aug 22 23:30:01 EDT 2017      24.16       60.90
Tue Aug 22 23:35:17 EDT 2017      24.12       63.60
Tue Aug 22 23:40:02 EDT 2017      24.07       61.80
Tue Aug 22 23:45:17 EDT 2017      24.16       61.20
Tue Aug 22 23:50:02 EDT 2017      24.12       59.70
Tue Aug 22 23:55:16 EDT 2017      24.10       58.80
Wed Aug 23 00:00:02 EDT 2017      24.08       58.00
Wed Aug 23 00:05:17 EDT 2017      24.07       57.60
Wed Aug 23 00:10:02 EDT 2017      24.06       57.40
Wed Aug 23 00:15:16 EDT 2017      24.17       57.20
Wed Aug 23 00:20:02 EDT 2017      24.06       57.40
Wed Aug 23 00:25:17 EDT 2017      24.06       57.20
Wed Aug 23 00:30:01 EDT 2017      24.07       57.80
Wed Aug 23 00:35:17 EDT 2017      24.08       58.20
Wed Aug 23 00:40:02 EDT 2017      24.09       58.30
Wed Aug 23 00:45:17 EDT 2017      24.10       58.60
Wed Aug 23 00:50:17 EDT 2017      24.12       59.40
Wed Aug 23 00:55:18 EDT 2017     Failed      Failed
Wed Aug 23 01:00:17 EDT 2017     Failed      Failed
Wed Aug 23 01:05:17 EDT 2017      24.05       61.20
Wed Aug 23 01:10:17 EDT 2017      24.06       61.60
Wed Aug 23 01:15:17 EDT 2017      24.09       62.70
Wed Aug 23 01:20:17 EDT 2017     Failed      Failed
Wed Aug 23 01:25:04 EDT 2017     Failed      Failed
Wed Aug 23 01:30:17 EDT 2017     Failed      Failed
Wed Aug 23 01:35:17 EDT 2017     Failed      Failed
Wed Aug 23 01:40:17 EDT 2017     Failed      Failed
Wed Aug 23 01:45:17 EDT 2017     Failed      Failed
Wed Aug 23 01:50:17 EDT 2017      24.01       63.90
Wed Aug 23 01:55:17 EDT 2017     Failed      Failed
Wed Aug 23 02:00:17 EDT 2017     Failed      Failed
Wed Aug 23 02:05:17 EDT 2017     Failed      Failed
Wed Aug 23 02:10:18 EDT 2017     Failed      Failed
Wed Aug 23 02:15:17 EDT 2017     Failed      Failed
Wed Aug 23 02:20:17 EDT 2017     Failed      Failed
Wed Aug 23 02:25:17 EDT 2017     Failed      Failed
Wed Aug 23 02:30:16 EDT 2017     Failed      Failed
Wed Aug 23 02:35:17 EDT 2017     Failed      Failed
Wed Aug 23 02:40:16 EDT 2017     Failed      Failed
Wed Aug 23 02:45:16 EDT 2017     Failed      Failed
Wed Aug 23 02:50:16 EDT 2017     Failed      Failed
Wed Aug 23 02:55:17 EDT 2017     Failed      Failed
Wed Aug 23 03:00:02 EDT 2017     Failed      Failed
Wed Aug 23 03:05:01 EDT 2017      24.01       63.70
Wed Aug 23 03:10:18 EDT 2017      24.12       63.60
Wed Aug 23 03:15:02 EDT 2017      23.90       63.60
Wed Aug 23 03:20:16 EDT 2017      24.12       63.60
Wed Aug 23 03:25:02 EDT 2017      24.01       63.60
Wed Aug 23 03:30:19 EDT 2017      24.12       63.60
Wed Aug 23 03:35:01 EDT 2017      24.01       63.80
Wed Aug 23 03:40:17 EDT 2017      24.01       63.80
Wed Aug 23 03:45:01 EDT 2017      24.01       63.80
Wed Aug 23 03:50:19 EDT 2017      24.00       63.40
Wed Aug 23 03:55:01 EDT 2017      24.00       63.40
Wed Aug 23 04:00:17 EDT 2017      24.01       63.80
Wed Aug 23 04:05:02 EDT 2017      24.01       63.70
Wed Aug 23 04:10:18 EDT 2017      23.90       63.90
Wed Aug 23 04:15:01 EDT 2017      23.90       63.60
Wed Aug 23 04:20:16 EDT 2017      23.90       63.70
Wed Aug 23 04:25:17 EDT 2017      24.02       64.00
Wed Aug 23 04:30:17 EDT 2017      23.89       63.40
Wed Aug 23 04:35:17 EDT 2017     Failed      Failed
Wed Aug 23 04:40:17 EDT 2017      24.01       63.80
Wed Aug 23 04:45:17 EDT 2017      23.90       63.70
Wed Aug 23 04:50:17 EDT 2017      23.90       63.60
Wed Aug 23 04:55:17 EDT 2017      23.90       63.60
Wed Aug 23 05:00:17 EDT 2017      23.90       63.70
Wed Aug 23 05:05:04 EDT 2017      23.90       63.70
Wed Aug 23 05:10:17 EDT 2017      23.89       63.50
Wed Aug 23 05:15:17 EDT 2017      23.79       63.80
Wed Aug 23 05:20:18 EDT 2017     Failed      Failed
Wed Aug 23 05:25:17 EDT 2017     Failed      Failed
Wed Aug 23 05:30:18 EDT 2017     Failed      Failed
Wed Aug 23 05:35:17 EDT 2017     Failed      Failed
Wed Aug 23 05:40:17 EDT 2017      23.79       63.80
Wed Aug 23 05:45:17 EDT 2017      23.79       63.80
Wed Aug 23 05:50:17 EDT 2017      23.79       63.70
Wed Aug 23 05:55:17 EDT 2017      23.68       63.80
Wed Aug 23 06:05:02 EDT 2017      23.68       63.80
Wed Aug 23 06:10:17 EDT 2017     Failed      Failed
Wed Aug 23 06:15:17 EDT 2017      23.68       63.90
Wed Aug 23 06:20:17 EDT 2017      23.57       63.60
Wed Aug 23 06:25:17 EDT 2017     Failed      Failed
Wed Aug 23 06:30:18 EDT 2017     Failed      Failed
Wed Aug 23 06:35:01 EDT 2017     Failed      Failed
Wed Aug 23 06:40:01 EDT 2017      23.55       63.10
Wed Aug 23 06:45:18 EDT 2017      23.64       62.30
Wed Aug 23 06:50:02 EDT 2017      23.22       58.80
Wed Aug 23 06:55:17 EDT 2017     Failed      Failed
Wed Aug 23 07:00:01 EDT 2017      22.86       57.70
Wed Aug 23 07:05:17 EDT 2017      22.87       57.90
Wed Aug 23 07:10:02 EDT 2017      22.64       57.50
Wed Aug 23 07:15:17 EDT 2017     Failed      Failed
Wed Aug 23 07:20:01 EDT 2017      22.98       58.10
Wed Aug 23 07:25:17 EDT 2017     Failed      Failed
Wed Aug 23 07:30:02 EDT 2017     Failed      Failed
Wed Aug 23 07:35:16 EDT 2017      22.90       59.20
Wed Aug 23 07:40:01 EDT 2017      22.79       59.00
Wed Aug 23 07:45:17 EDT 2017      22.64       57.70
Wed Aug 23 07:50:01 EDT 2017      22.74       57.20
Wed Aug 23 07:55:16 EDT 2017     Failed      Failed
Wed Aug 23 08:00:19 EDT 2017     Failed      Failed
Wed Aug 23 08:05:01 EDT 2017      22.73       61.20
Wed Aug 23 08:10:17 EDT 2017      22.82       60.20
Wed Aug 23 08:20:01 EDT 2017     Failed      Failed
Wed Aug 23 08:25:17 EDT 2017      22.90       59.30
Wed Aug 23 08:30:17 EDT 2017      23.06       61.00
Wed Aug 23 08:35:17 EDT 2017      23.03       60.00
Wed Aug 23 08:40:03 EDT 2017      23.06       61.00
Wed Aug 23 08:45:17 EDT 2017      23.07       61.30
Wed Aug 23 08:50:16 EDT 2017      23.35       63.80
Wed Aug 23 08:55:16 EDT 2017     Failed      Failed
Wed Aug 23 09:00:17 EDT 2017     Failed      Failed
Wed Aug 23 09:05:17 EDT 2017     Failed      Failed
Wed Aug 23 09:10:17 EDT 2017     Failed      Failed
Wed Aug 23 09:15:17 EDT 2017     Failed      Failed
Wed Aug 23 09:20:17 EDT 2017      24.74       79.10
Wed Aug 23 09:25:16 EDT 2017      24.69       77.10
Wed Aug 23 09:30:17 EDT 2017      24.60       77.90
Wed Aug 23 09:35:17 EDT 2017      24.76       84.20
Wed Aug 23 09:40:17 EDT 2017      24.72       82.70
Wed Aug 23 09:45:16 EDT 2017      24.72       82.70
Wed Aug 23 09:50:17 EDT 2017      24.68       81.10
Wed Aug 23 09:55:17 EDT 2017      24.62       78.60
Wed Aug 23 10:00:17 EDT 2017      24.60       78.10
Wed Aug 23 10:05:17 EDT 2017     Failed      Failed
Wed Aug 23 10:10:18 EDT 2017     Failed      Failed
Wed Aug 23 10:15:02 EDT 2017     Failed      Failed
Wed Aug 23 10:20:01 EDT 2017     Failed      Failed
Wed Aug 23 10:25:17 EDT 2017     Failed      Failed
Wed Aug 23 10:30:02 EDT 2017     Failed      Failed
Wed Aug 23 10:35:16 EDT 2017     Failed      Failed
Wed Aug 23 10:40:01 EDT 2017     Failed      Failed
Wed Aug 23 10:45:03 EDT 2017     Failed      Failed
Wed Aug 23 10:50:17 EDT 2017     Failed      Failed
Wed Aug 23 10:55:01 EDT 2017     Failed      Failed
Wed Aug 23 11:00:17 EDT 2017     Failed      Failed
Wed Aug 23 11:05:01 EDT 2017     Failed      Failed
Wed Aug 23 11:10:16 EDT 2017     Failed      Failed
Wed Aug 23 11:15:02 EDT 2017     Failed      Failed
Wed Aug 23 11:20:17 EDT 2017     Failed      Failed
Wed Aug 23 11:25:01 EDT 2017     Failed      Failed
Wed Aug 23 11:30:17 EDT 2017     Failed      Failed
Wed Aug 23 11:35:01 EDT 2017     Failed      Failed
Wed Aug 23 11:40:18 EDT 2017     Failed      Failed
Wed Aug 23 11:50:01 EDT 2017     Failed      Failed
Wed Aug 23 11:55:16 EDT 2017     Failed      Failed
Wed Aug 23 12:00:17 EDT 2017     Failed      Failed
Wed Aug 23 12:05:17 EDT 2017     Failed      Failed
Wed Aug 23 12:10:17 EDT 2017     Failed      Failed
Wed Aug 23 12:15:17 EDT 2017     Failed      Failed
Wed Aug 23 12:20:17 EDT 2017     Failed      Failed
Wed Aug 23 12:25:17 EDT 2017     Failed      Failed
